company_name;category;offers
Hays;Badania i Rozwój & Nauka;21
Hays;Bankowość & Usługi Finanoswe;155
Hays;Budownictwo;20
Hays;Części samochodowe;31
Hays;Edukacja & Szkolenia;5
Hays;Farmacja;24
Hays;Hotelarstwo, Turystyka, Rozrywka;8
Hays;Inżynieria;38
Hays;Logistyka & Łańcuch Dostaw;67
Hays;Lotnictwo & Kosmonautyka;24
Hays;Nieruchomości;5
Hays;Prawo;8
Hays;Produkcja;196
Hays;Przemysł energetyczny i wydobywczy;15
Hays;Radio, TV, Muzyka & Film;5
Hays;Reklama, Media, PR;8
Hays;Rekrutacja;10
Hays;Rolnictwo, Rybołóstwo, Leśnictwo;2
Hays;Sektor rządowy i publiczny;not received
Hays;Sprzedaż detaliczna i dobra konsumpcyjne;100
Hays;Służba Zdrowia;11
Hays;Technologia & Usługi internetowe;144
Hays;Telekomunikacja;7
Hays;Ubezpieczenia;6
